Year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year), Baa Corporate Bond,Real Estate,Gold*,S&P 500 (includes dividends)3,US Small cap (bottom decile) Cum Value,3-month T.Bill4,US T. Bond5, Baa Corporate Bond2,Real Estate2,Gold2,Stocks - Bills,Stocks - Bonds,Small Cap Premium (S&P 500 minus Bottom Decile),Stocks - Baa Corp Bond,Historical ERP,Inflation Rate,S&P 500 (includes dividends)2,US Small cap (bottom decile)22,3-month T. Bill (Real),!0-year T.Bonds,Baa Corp Bonds,Real Estate3,Gold,S&P 500 (includes dividends)3,US Small cap (bottom decile)22,3-month T.Bill4,US T. Bond5, Baa Corporate Bond2,Real Estate2,Gold2,Stocks minus T. Bills,Stocks minus T.Bonds
1950,30.81%,52.81%,1.20%,0.43%,4.24%,3.64%,9.56%, $ 355.60 ," $ 1,874.03 ", $ 124.44 , $ 199.27 , $ 366.65 , $ 199.22 , $ 168.22 ,29.60%,30.38%,22.00%,26.57%,,5.93%,23.48%,44.25%,-4.46%,-5.19%,-1.60%,-2.16%,3.43%, $ 246.07 ," $ 1,315.00 ", $ 86.12 , $ 137.90 , $ 253.72 , $ 137.86 , $ 116.41 ,27.94%,28.67%
1951,23.68%,3.87%,1.52%,-0.30%,-0.19%,6.05%,0.00%, $ 439.80 ," $ 1,946.56 ", $ 126.33 , $ 198.68 , $ 365.95 , $ 211.26 , $ 168.22 ,22.16%,23.97%,-19.81%,23.87%,,6.00%,16.68%,-2.01%,-4.23%,-5.94%,-5.84%,0.04%,-5.66%, $ 287.11 ," $ 1,288.57 ", $ 82.47 , $ 129.71 , $ 238.90 , $ 137.92 , $ 109.82 ,20.91%,22.62%
1952,18.15%,1.02%,1.72%,2.27%,4.44%,4.41%,-0.35%, $ 519.62 ," $ 1,966.41 ", $ 128.51 , $ 203.19 , $ 382.20 , $ 220.57 , $ 167.64 ,16.43%,15.88%,-17.13%,13.71%,,0.75%,17.27%,0.26%,0.96%,1.50%,3.66%,3.62%,-1.09%, $ 336.69 ," $ 1,291.96 ", $ 83.27 , $ 131.66 , $ 247.64 , $ 142.92 , $ 108.62 ,16.31%,15.76%
1953,-1.21%,-5.97%,1.89%,4.14%,1.62%,11.52%,0.69%, $ 513.35 ," $ 1,849.02 ", $ 130.94 , $ 211.61 , $ 388.39 , $ 245.98 , $ 168.80 ,-3.10%,-5.35%,-4.76%,-2.83%,,0.75%,-1.94%,-6.67%,1.13%,3.37%,0.86%,10.69%,-0.06%, $ 330.14 ," $ 1,205.80 ", $ 84.21 , $ 136.09 , $ 249.78 , $ 158.19 , $ 108.56 ,-3.08%,-5.31%
1954,52.56%,64.97%,0.94%,3.29%,6.16%,0.92%,0.57%, $ 783.18 ," $ 3,050.32 ", $ 132.17 , $ 218.57 , $ 412.31 , $ 248.25 , $ 169.77 ,51.63%,49.27%,12.41%,46.41%,,-0.74%,53.71%,66.21%,1.69%,4.06%,6.95%,1.68%,1.33%, $ 507.45 ," $ 2,004.11 ", $ 85.64 , $ 141.62 , $ 267.15 , $ 160.85 , $ 110.00 ,52.01%,49.64%
1955,32.60%,26.72%,1.72%,-1.34%,2.04%,0.00%,-0.03%," $ 1,038.47 "," $ 3,865.37 ", $ 134.45 , $ 215.65 , $ 420.74 , $ 248.25 , $ 169.72 ,30.87%,33.93%,-5.88%,30.55%,,0.37%,32.10%,26.25%,1.34%,-1.70%,1.66%,-0.37%,-0.40%, $ 670.36 ," $ 2,530.13 ", $ 86.79 , $ 139.21 , $ 271.60 , $ 160.25 , $ 109.56 ,30.76%,33.81%
1956,7.44%,-0.89%,2.62%,-2.26%,-2.35%,0.91%,-0.11%," $ 1,115.73 "," $ 3,830.97 ", $ 137.97 , $ 210.79 , $ 410.84 , $ 250.52 , $ 169.53 ,4.82%,9.70%,-8.33%,9.79%,,2.99%,4.33%,-3.76%,-0.35%,-5.09%,-5.18%,-2.01%,-3.01%, $ 699.35 ," $ 2,434.93 ", $ 86.48 , $ 132.12 , $ 257.52 , $ 157.03 , $ 106.26 ,4.68%,9.41%
1957,-10.46%,-15.19%,3.22%,6.80%,-0.72%,2.72%,-0.11%, $ 999.05 ," $ 3,249.04 ", $ 142.42 , $ 225.11 , $ 407.89 , $ 257.33 , $ 169.33 ,-13.68%,-17.25%,-4.73%,-9.74%,,2.90%,-12.98%,-17.58%,0.32%,3.79%,-3.52%,-0.18%,-2.93%, $ 608.58 ," $ 2,006.89 ", $ 86.76 , $ 137.13 , $ 248.47 , $ 156.75 , $ 103.15 ,-13.30%,-16.77%
1958,43.72%,68.80%,1.77%,-2.10%,6.43%,0.66%,0.43%," $ 1,435.84 "," $ 5,484.38 ", $ 144.93 , $ 220.39 , $ 434.11 , $ 259.03 , $ 170.06 ,41.95%,45.82%,25.08%,37.29%,,1.76%,41.23%,65.88%,0.01%,-3.79%,4.59%,-1.08%,-1.31%, $ 859.52 ," $ 3,329.03 ", $ 86.76 , $ 131.93 , $ 259.87 , $ 155.06 , $ 101.80 ,41.23%,45.03%
1959,12.06%,12.70%,3.39%,-2.65%,1.57%,0.11%,0.00%," $ 1,608.95 "," $ 6,180.90 ", $ 149.84 , $ 214.56 , $ 440.95 , $ 259.31 , $ 170.06 ,8.67%,14.70%,0.64%,10.48%,,1.73%,10.15%,10.78%,1.63%,-4.30%,-0.15%,-1.59%,-1.70%, $ 946.76 ," $ 3,688.01 ", $ 88.17 , $ 126.25 , $ 259.47 , $ 152.59 , $ 100.07 ,8.52%,14.45%
1960,0.34%,-3.57%,2.87%,11.64%,6.66%,0.77%,0.48%," $ 1,614.37 "," $ 5,960.24 ", $ 154.15 , $ 239.53 , $ 470.33 , $ 261.30 , $ 170.88 ,-2.54%,-11.30%,-3.91%,-6.33%,6.11%,1.36%,-1.01%,-4.86%,1.49%,10.14%,5.23%,-0.59%,-0.86%, $ 937.20 ," $ 3,508.61 ", $ 89.49 , $ 139.06 , $ 273.04 , $ 151.69 , $ 99.20 ,-2.50%,-11.15%
1961,26.64%,29.45%,2.35%,2.06%,5.10%,0.98%,-0.06%," $ 2,044.40 "," $ 7,715.53 ", $ 157.77 , $ 244.46 , $ 494.32 , $ 263.85 , $ 170.78 ,24.29%,24.58%,2.81%,21.54%,6.62%,0.67%,25.79%,28.59%,1.67%,1.38%,4.40%,0.30%,-0.72%," $ 1,178.94 "," $ 4,511.62 ", $ 90.98 , $ 140.97 , $ 285.06 , $ 152.15 , $ 98.49 ,24.12%,24.41%
1962,-8.81%,-9.78%,2.77%,5.69%,6.50%,0.32%,-0.06%," $ 1,864.26 "," $ 6,960.95 ", $ 162.15 , $ 258.38 , $ 526.43 , $ 264.70 , $ 170.69 ,-11.58%,-14.51%,-0.97%,-15.31%,5.97%,1.33%,-10.01%,-10.97%,1.42%,4.30%,5.09%,-1.00%,-1.37%," $ 1,060.91 "," $ 4,016.82 ", $ 92.27 , $ 147.04 , $ 299.58 , $ 150.64 , $ 97.13 ,-11.43%,-14.31%
1963,22.61%,19.65%,3.16%,1.68%,5.46%,2.14%,-0.40%," $ 2,285.80 "," $ 8,328.78 ", $ 167.27 , $ 262.74 , $ 555.19 , $ 270.38 , $ 170.01 ,19.46%,20.93%,-2.96%,17.15%,6.36%,1.64%,20.63%,17.71%,1.49%,0.04%,3.76%,0.49%,-2.01%," $ 1,279.75 "," $ 4,728.36 ", $ 93.65 , $ 147.10 , $ 310.84 , $ 151.38 , $ 95.18 ,19.14%,20.59%
1964,16.42%,23.25%,3.55%,3.73%,5.16%,1.26%,0.03%," $ 2,661.02 "," $ 10,265.22 ", $ 173.20 , $ 272.53 , $ 583.85 , $ 273.78 , $ 170.06 ,12.87%,12.69%,6.83%,11.25%,6.53%,0.97%,15.30%,22.06%,2.55%,2.73%,4.15%,0.29%,-0.93%," $ 1,475.50 "," $ 5,771.67 ", $ 96.03 , $ 151.11 , $ 323.74 , $ 151.81 , $ 94.30 ,12.75%,12.57%
1965,12.40%,45.24%,3.95%,0.72%,3.19%,1.66%,0.06%," $ 2,990.97 "," $ 14,909.21 ", $ 180.04 , $ 274.49 , $ 602.47 , $ 278.32 , $ 170.16 ,8.45%,11.68%,32.84%,9.21%,6.66%,1.92%,10.28%,42.50%,1.99%,-1.18%,1.24%,-0.26%,-1.83%," $ 1,627.16 "," $ 8,224.60 ", $ 97.94 , $ 149.33 , $ 327.76 , $ 151.41 , $ 92.57 ,8.29%,11.46%
1966,-9.97%,-9.47%,4.86%,2.91%,-3.45%,1.22%,0.03%," $ 2,692.74 "," $ 13,497.31 ", $ 188.78 , $ 282.47 , $ 581.72 , $ 281.72 , $ 170.20 ,-14.83%,-12.88%,0.50%,-6.53%,6.11%,3.46%,-12.98%,-12.50%,1.35%,-0.53%,-6.67%,-2.16%,-3.32%," $ 1,415.94 "," $ 7,196.79 ", $ 99.27 , $ 148.53 , $ 305.89 , $ 148.14 , $ 89.50 ,-14.33%,-12.45%
1967,23.80%,115.87%,4.29%,-1.58%,0.90%,2.32%,-0.51%," $ 3,333.69 "," $ 29,136.64 ", $ 196.88 , $ 278.01 , $ 586.92 , $ 288.25 , $ 169.33 ,19.51%,25.38%,92.07%,22.91%,6.57%,3.04%,20.15%,109.50%,1.22%,-4.48%,-2.08%,-0.70%,-3.45%," $ 1,701.27 "," $ 15,077.43 ", $ 100.47 , $ 141.87 , $ 299.52 , $ 147.10 , $ 86.41 ,18.93%,24.63%
